x,y,row,col,spot_id,radius
304.5625,3.171875,0,3,0x3,27.5
404.5625,3.171875,0,4,0x4,27.5
504.5625,3.171875,0,5,0x5,27.5
604.5625,3.171875,0,6,0x6,27.5
704.5625,3.171875,0,7,0x7,27.5
804.5625,3.171875,0,8,0x8,27.5
904.5625,3.171875,0,9,0x9,27.5
1204.5625,3.171875,0,12,0x12,27.5
254.5625,89.77441537844386,1,2,1x2,27.5
354.5625,89.77441537844386,1,3,1x3,27.5
454.5625,89.77441537844386,1,4,1x4,27.5
554.5625,89.77441537844386,1,5,1x5,27.5
654.5625,89.77441537844386,1,6,1x6,27.5
754.5625,89.77441537844386,1,7,1x7,27.5
854.5625,89.77441537844386,1,8,1x8,27.5
954.5625,89.77441537844386,1,9,1x9,27.5
1054.5625,89.77441537844386,1,10,1x10,27.5
1154.5625,89.77441537844386,1,11,1x11,27.5
204.5625,176.37695575688772,2,2,2x2,27.5
304.5625,176.37695575688772,2,3,2x3,27.5
404.5625,176.37695575688772,2,4,2x4,27.5
504.5625,176.37695575688772,2,5,2x5,27.5
604.5625,176.37695575688772,2,6,2x6,27.5
704.5625,176.37695575688772,2,7,2x7,27.5
804.5625,176.37695575688772,2,8,2x8,27.5
904.5625,176.37695575688772,2,9,2x9,27.5
1004.5625,176.37695575688772,2,10,2x10,27.5
1204.5625,176.37695575688772,2,12,2x12,27.5
154.5625,262.9794961353316,3,1,3x1,27.5
254.5625,262.9794961353316,3,2,3x2,27.5
354.5625,262.9794961353316,3,3,3x3,27.5
454.5625,262.9794961353316,3,4,3x4,27.5
554.5625,262.9794961353316,3,5,3x5,27.5
654.5625,262.9794961353316,3,6,3x6,27.5
754.5625,262.9794961353316,3,7,3x7,27.5
854.5625,262.9794961353316,3,8,3x8,27.5
954.5625,262.9794961353316,3,9,3x9,27.5
1054.5625,262.9794961353316,3,10,3x10,27.5
1154.5625,262.9794961353316,3,11,3x11,27.5
204.5625,349.58203651377545,4,2,4x2,27.5
304.5625,349.58203651377545,4,3,4x3,27.5
404.5625,349.58203651377545,4,4,4x4,27.5
504.5625,349.58203651377545,4,5,4x5,27.5
604.5625,349.58203651377545,4,6,4x6,27.5
704.5625,349.58203651377545,4,7,4x7,27.5
804.5625,349.58203651377545,4,8,4x8,27.5
904.5625,349.58203651377545,4,9,4x9,27.5
1004.5625,349.58203651377545,4,10,4x10,27.5
1104.5625,349.58203651377545,4,11,4x11,27.5
54.5625,436.1845768922193,5,0,5x0,27.5
154.5625,436.1845768922193,5,1,5x1,27.5
254.5625,436.1845768922193,5,2,5x2,27.5
354.5625,436.1845768922193,5,3,5x3,27.5
454.5625,436.1845768922193,5,4,5x4,27.5
554.5625,436.1845768922193,5,5,5x5,27.5
654.5625,436.1845768922193,5,6,5x6,27.5
754.5625,436.1845768922193,5,7,5x7,27.5
854.5625,436.1845768922193,5,8,5x8,27.5
954.5625,436.1845768922193,5,9,5x9,27.5
1054.5625,436.1845768922193,5,10,5x10,27.5
1154.5625,436.1845768922193,5,11,5x11,27.5
4.5625,522.7871172706632,6,0,6x0,27.5
104.5625,522.7871172706632,6,1,6x1,27.5
204.5625,522.7871172706632,6,2,6x2,27.5
304.5625,522.7871172706632,6,3,6x3,27.5
404.5625,522.7871172706632,6,4,6x4,27.5
504.5625,522.7871172706632,6,5,6x5,27.5
604.5625,522.7871172706632,6,6,6x6,27.5
704.5625,522.7871172706632,6,7,6x7,27.5
804.5625,522.7871172706632,6,8,6x8,27.5
904.5625,522.7871172706632,6,9,6x9,27.5
1004.5625,522.7871172706632,6,10,6x10,27.5
1104.5625,522.7871172706632,6,11,6x11,27.5
1204.5625,522.7871172706632,6,12,6x12,27.5
154.5625,609.3896576491071,7,1,7x1,27.5
254.5625,609.3896576491071,7,2,7x2,27.5
354.5625,609.3896576491071,7,3,7x3,27.5
454.5625,609.3896576491071,7,4,7x4,27.5
554.5625,609.3896576491071,7,5,7x5,27.5
654.5625,609.3896576491071,7,6,7x6,27.5
754.5625,609.3896576491071,7,7,7x7,27.5
854.5625,609.3896576491071,7,8,7x8,27.5
954.5625,609.3896576491071,7,9,7x9,27.5
1054.5625,609.3896576491071,7,10,7x10,27.5
1154.5625,609.3896576491071,7,11,7x11,27.5
204.5625,695.992198027551,8,2,8x2,27.5
304.5625,695.992198027551,8,3,8x3,27.5
404.5625,695.992198027551,8,4,8x4,27.5
504.5625,695.992198027551,8,5,8x5,27.5
604.5625,695.992198027551,8,6,8x6,27.5
704.5625,695.992198027551,8,7,8x7,27.5
804.5625,695.992198027551,8,8,8x8,27.5
904.5625,695.992198027551,8,9,8x9,27.5
1004.5625,695.992198027551,8,10,8x10,27.5
1104.5625,695.992198027551,8,11,8x11,27.5
1204.5625,695.992198027551,8,12,8x12,27.5
154.5625,782.5947384059949,9,1,9x1,27.5
254.5625,782.5947384059949,9,2,9x2,27.5
354.5625,782.5947384059949,9,3,9x3,27.5
454.5625,782.5947384059949,9,4,9x4,27.5
554.5625,782.5947384059949,9,5,9x5,27.5
654.5625,782.5947384059949,9,6,9x6,27.5
754.5625,782.5947384059949,9,7,9x7,27.5
854.5625,782.5947384059949,9,8,9x8,27.5
954.5625,782.5947384059949,9,9,9x9,27.5
1054.5625,782.5947384059949,9,10,9x10,27.5
1154.5625,782.5947384059949,9,11,9x11,27.5
4.5625,869.1972787844388,10,0,10x0,27.5
104.5625,869.1972787844388,10,1,10x1,27.5
204.5625,869.1972787844388,10,2,10x2,27.5
304.5625,869.1972787844388,10,3,10x3,27.5
404.5625,869.1972787844388,10,4,10x4,27.5
504.5625,869.1972787844388,10,5,10x5,27.5
604.5625,869.1972787844388,10,6,10x6,27.5
704.5625,869.1972787844388,10,7,10x7,27.5
804.5625,869.1972787844388,10,8,10x8,27.5
904.5625,869.1972787844388,10,9,10x9,27.5
1004.5625,869.1972787844388,10,10,10x10,27.5
1104.5625,869.1972787844388,10,11,10x11,27.5
54.5625,955.7998191628827,11,0,11x0,27.5
154.5625,955.7998191628827,11,1,11x1,27.5
254.5625,955.7998191628827,11,2,11x2,27.5
354.5625,955.7998191628827,11,3,11x3,27.5
454.5625,955.7998191628827,11,4,11x4,27.5
554.5625,955.7998191628827,11,5,11x5,27.5
654.5625,955.7998191628827,11,6,11x6,27.5
754.5625,955.7998191628827,11,7,11x7,27.5
854.5625,955.7998191628827,11,8,11x8,27.5
954.5625,955.7998191628827,11,9,11x9,27.5
1054.5625,955.7998191628827,11,10,11x10,27.5
104.5625,1042.4023595413266,12,1,12x1,27.5
304.5625,1042.4023595413266,12,3,12x3,27.5
404.5625,1042.4023595413266,12,4,12x4,27.5
504.5625,1042.4023595413266,12,5,12x5,27.5
604.5625,1042.4023595413266,12,6,12x6,27.5
704.5625,1042.4023595413266,12,7,12x7,27.5
804.5625,1042.4023595413266,12,8,12x8,27.5
904.5625,1042.4023595413266,12,9,12x9,27.5
1104.5625,1042.4023595413266,12,11,12x11,27.5
1204.5625,1042.4023595413266,12,12,12x12,27.5
154.5625,1129.0048999197704,13,1,13x1,27.5
254.5625,1129.0048999197704,13,2,13x2,27.5
354.5625,1129.0048999197704,13,3,13x3,27.5
454.5625,1129.0048999197704,13,4,13x4,27.5
554.5625,1129.0048999197704,13,5,13x5,27.5
654.5625,1129.0048999197704,13,6,13x6,27.5
754.5625,1129.0048999197704,13,7,13x7,27.5
854.5625,1129.0048999197704,13,8,13x8,27.5
954.5625,1129.0048999197704,13,9,13x9,27.5
1054.5625,1129.0048999197704,13,10,13x10,27.5
1154.5625,1129.0048999197704,13,11,13x11,27.5
104.5625,1215.6074402982142,14,1,14x1,27.5
204.5625,1215.6074402982142,14,2,14x2,27.5
304.5625,1215.6074402982142,14,3,14x3,27.5
404.5625,1215.6074402982142,14,4,14x4,27.5
504.5625,1215.6074402982142,14,5,14x5,27.5
604.5625,1215.6074402982142,14,6,14x6,27.5
704.5625,1215.6074402982142,14,7,14x7,27.5
804.5625,1215.6074402982142,14,8,14x8,27.5
904.5625,1215.6074402982142,14,9,14x9,27.5
1004.5625,1215.6074402982142,14,10,14x10,27.5
1104.5625,1215.6074402982142,14,11,14x11,27.5
54.5625,1302.209980676658,15,0,15x0,27.5
154.5625,1302.209980676658,15,1,15x1,27.5
254.5625,1302.209980676658,15,2,15x2,27.5
354.5625,1302.209980676658,15,3,15x3,27.5
454.5625,1302.209980676658,15,4,15x4,27.5
554.5625,1302.209980676658,15,5,15x5,27.5
654.5625,1302.209980676658,15,6,15x6,27.5
754.5625,1302.209980676658,15,7,15x7,27.5
854.5625,1302.209980676658,15,8,15x8,27.5
954.5625,1302.209980676658,15,9,15x9,27.5
1054.5625,1302.209980676658,15,10,15x10,27.5
104.5625,1388.8125210551018,16,1,16x1,27.5
304.5625,1388.8125210551018,16,3,16x3,27.5
404.5625,1388.8125210551018,16,4,16x4,27.5
604.5625,1388.8125210551018,16,6,16x6,27.5
704.5625,1388.8125210551018,16,7,16x7,27.5
804.5625,1388.8125210551018,16,8,16x8,27.5
904.5625,1388.8125210551018,16,9,16x9,27.5
1004.5625,1388.8125210551018,16,10,16x10,27.5
